,room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,name,latitude,longitude,boroughs
9953,13544842,77942688,Entire home/apt,Watergraafsmeer,1,0.0,4,2.0,143.0,"Comfortable family friendly home, with big garden.",52.347844,4.942085,Oost
9954,13133577,1167243,Entire home/apt,Oud Oost,2,0.0,4,2.0,144.0,"Sunny 2 bed apt in convenient, hip neighboorhood",52.360176,4.913221,Oost
9955,7757518,38833708,Entire home/apt,Centrum Oost,9,4.5,4,2.0,144.0,comfi apartment in Amsterdam,52.361306,4.910701,Centrum
9956,16399684,107436513,Entire home/apt,Oud Oost,0,0.0,2,1.0,143.0,"DESIGN apt for TWO, Very close to CITY CENTRE",52.349679,4.912918,Oost
9957,16208749,7667088,Entire home/apt,De Pijp / Rivierenbuurt,3,5.0,4,1.0,143.0,Complete apartment in a quiet street in De Pijp,52.350436,4.906262,Zuid
9958,4487975,14641242,Entire home/apt,Oud Oost,21,5.0,2,1.0,126.0,"Large sunny flat, balcony, WiFi",52.357183,4.925066,Oost
9959,13596623,78596496,Entire home/apt,De Pijp / Rivierenbuurt,9,5.0,4,1.0,144.0,Beautiful apartment with garden in the Pijp area,52.351146,4.904191,Zuid
9960,18163982,3144126,Entire home/apt,De Pijp / Rivierenbuurt,1,0.0,2,1.0,140.0,Lovely appartment with balcony,52.346578,4.90784,Zuid
9961,2048928,10502244,Entire home/apt,Oud Oost,2,0.0,2,1.0,138.0,Luxurious Apartment!,52.36136,4.915248,Oost
9962,10844085,12509668,Entire home/apt,Oud Oost,5,5.0,2,1.0,144.0,"Luxurious 2p ap with garden, next to Beukenplein!",52.359217,4.925506,Oost
9963,17247524,88030183,Entire home/apt,Oud Oost,5,5.0,4,2.0,144.0,Appartement in Amsterdam-Oost,52.354253,4.920241,Oost
9964,14401240,45330359,Entire home/apt,Oud Oost,0,0.0,2,1.0,141.0,Cozy apartment with canal view,52.350214,4.913268,Oost
9965,14209054,20274042,Entire home/apt,Oud Oost,2,0.0,4,2.0,144.0,Beautiful cosy family apartment 4p,52.357121,4.924974,Oost
9966,6475556,26106803,Entire home/apt,Oud Oost,26,4.5,2,1.0,127.0,Amazing rooftop apartment | City Center & ZOO,52.358808,4.925921,Oost
9967,11085189,1738407,Entire home/apt,De Pijp / Rivierenbuurt,1,0.0,4,2.0,144.0,Apartment for 4 people in the Pijp,52.354598,4.904605,Zuid
9968,4323808,22449982,Entire home/apt,De Pijp / Rivierenbuurt,25,5.0,2,1.0,132.0,Cosy appartment on the ground floor - close to RAI,52.349868,4.905566,Zuid
9969,12885546,65918579,Entire home/apt,Oud Oost,27,5.0,2,1.0,141.0,Beautiful & comfortable apartment next to Amstel!,52.357404,4.911257,Oost
